Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,ALL,0.8832219107181367,0.8749198889126255,0.46638655462184875,0.8790512985619231,8191,1083,1171,16772,5791237877253,01:36:31
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,CLASSES,1.0,0.2857142857142857,0.0,0.4444444444444445,4,0,10,21,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,PROPERTIES,1.0,0.9245283018867925,0.9245283018867925,0.9607843137254902,49,0,4,88,-,-
knowledgegraph,memoryalpha-memorybeta,SEALS Matcher,INSTANCES,0.8825506994902939,0.8755244755244755,0.45695045695045694,0.8790235472024196,8138,1083,1157,16663,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,ALL,0.9240596167494677,0.9111266620013996,0.4897959183673469,0.9175475687103594,1302,107,127,3435,1795158168347,00:29:55
knowledgegraph,starwars-swtor,SEALS Matcher,CLASSES,1.0,0.8,0.0,0.888888888888889,12,0,3,28,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,PROPERTIES,1.0,0.8928571428571429,0.8928571428571429,0.9433962264150945,50,0,6,103,-,-
knowledgegraph,starwars-swtor,SEALS Matcher,INSTANCES,0.9205642167780252,0.9131075110456554,0.3763440860215054,0.9168207024029573,1240,107,118,3304,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,ALL,0.6732186732186732,0.6578631452581032,0.21978021978021978,0.6654523375834851,1096,532,570,11761,3323338278905,00:55:23
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,CLASSES,1.0,1.0,0.0,1.0,2,0,0,8,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,PROPERTIES,1.0,0.9090909090909091,0.9090909090909091,0.9523809523809523,10,0,1,15,-,-
knowledgegraph,marvelcinematicuniverse-marvel,SEALS Matcher,INSTANCES,0.6707920792079208,0.6557773744706594,0.20920502092050208,0.6631997552768432,1084,532,569,11738,-,-
knowledgegraph,starwars-swg,SEALS Matcher,ALL,0.8293795620437956,0.8108831400535237,0.517814726840855,0.8200270635994588,909,187,212,4831,1660323705946,00:27:40
knowledgegraph,starwars-swg,SEALS Matcher,CLASSES,1.0,0.6,0.0,0.7499999999999999,3,0,2,10,-,-
knowledgegraph,starwars-swg,SEALS Matcher,PROPERTIES,1.0,1.0,1.0,1.0,20,0,0,42,-,-
knowledgegraph,starwars-swg,SEALS Matcher,INSTANCES,0.825722273998136,0.8083941605839416,0.49624060150375937,0.8169663439372984,886,187,210,4779,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,ALL,0.9404086265607264,0.9314221472737493,0.620253164556962,0.9358938153064107,1657,105,122,6075,1843993012702,00:30:43
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,CLASSES,1.0,0.5384615384615384,0.0,0.7000000000000001,7,0,6,24,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,PROPERTIES,0.9743589743589743,0.926829268292683,0.926829268292683,0.9500000000000001,38,1,3,70,-,-
knowledgegraph,memoryalpha-stexpanded,SEALS Matcher,INSTANCES,0.9393939393939394,0.9344927536231884,0.587360594795539,0.9369369369369369,1612,104,113,5981,-,-
